Al,B,Ba,Bi,Ca,Ce,Co,Cr,Cs,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Rb,S,Sb,Si,Sn,Sr,Te,Ti,V,W,Zn,Zr,Ac_source,Fa_source,Stabilizer,Ratio_Ac_Fa,Ratio_Stab_Fa,O_content,LHSV_mlhg,Temperature_K,Pressure_bar,g_cat,Fa_mmolmin,Ac_mmolmin,Y_Acryl_Ac,Y_Acryl_Fa,STY_Acryl_mmolhg,doi,Link_to_excel,Density,Ac_mmolming,Fa_mmolming,MeOH_mmolming,Water_mmolming,STY_Acryl_mmolhg_Ac,STY_Acryl_mmolhg_Fa,Cluster_n,Cluster_title
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145631067961165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4854368932038835,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",2.5,0.0,0.0,,648,1,20.0,0.2033333333333333,0.51,0.3279999999999999,0.82,0.50102,10.1016/0021-9517(87)90285-5,,,,,,,,,2,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145631067961165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4854368932038835,0.0,0.0,0.0,HAc,FORM,"MeOH 
 + H$_2$O",2.5,0.0,0.0,,623,1,20.0,0.2033333333333333,0.51,0.3052,0.763,0.466193,10.1016/0021-9517(87)90285-5,,,,,,,,,2,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145631067961165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4854368932038835,0.0,0.0,0.0,MAc,FORM,"MeOH 
 + H$_2$O",1.825,0.0,0.0,,653,1,20.0,0.2,0.365,0.1638356164383561,0.299,0.1794,10.1016/0021-9517(87)90285-5,,,,,,,,,2,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145631067961165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4854368932038835,0.0,0.0,0.0,HAc,TRX,None,2.235294117647059,0.0,0.0,,593,1,20.0,0.2833333333333333,0.6333333333333333,0.4384210526315789,0.98,0.833,10.1016/0021-9517(87)90285-5,,,,,,,,,2,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145631067961165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4854368932038835,0.0,0.0,0.0,HAc,TRX,None,2.235294117647059,0.0,0.0,,593,1,20.0,0.2833333333333333,0.6333333333333333,0.4066578947368421,0.909,0.7726500000000001,10.1016/0021-9517(87)90285-5,,,,,,,,,2,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5145631067961165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4854368932038835,0.0,0.0,0.0,MAc,TRX,None,1.8133333333333328,0.0,0.0,,653,1,20.0,0.25,0.4533333333333333,0.1996323529411764,0.362,0.2714999999999999,10.1016/0021-9517(87)90285-5,,,,,,,,,2,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666666,0.0,0.0,0.0416666666666666,HAc,TRX,None,2.235294117647059,0.0,0.0,,593,1,20.0,0.2833333333333333,0.6333333333333333,0.3355263157894737,0.75,0.6375,10.1016/0021-9517(87)90285-5,,,,,,,,,2,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666666,0.0,0.0,0.0,HAc,TRX,None,2.235294117647059,0.0,0.0,,593,1,20.0,0.2833333333333333,0.6333333333333333,0.3176315789473684,0.71,0.6034999999999999,10.1016/0021-9517(87)90285-5,,,,,,,,,2,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0454545454545454,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4545454545454546,0.0,0.0,0.0,HAc,TRX,None,2.235294117647059,0.0,0.0,,593,1,20.0,0.2833333333333333,0.6333333333333333,0.3713157894736842,0.83,0.7055,10.1016/0021-9517(87)90285-5,,,,,,,,,2,P-V-Ti
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5106382978723405,0.0,0.0,0.0,0.0,0.0,0.0,0.0638297872340425,0.0,0.425531914893617,0.0,0.0,0.0,HAc,TRX,None,2.235294117647059,0.0,0.0,,593,1,20.0,0.2833333333333333,0.6333333333333333,0.1968421052631579,0.44,0.374,10.1016/0021-9517(87)90285-5,,,,,,,,,2,P-V-Ti
